accident_id,date,time,location,fatalities,vehicles_involved,weather_conditions,road_conditions,driver_age,driver_gender
1,10/15/2024,https://greensboro.com/nasa-launches-probe-to-europa/article_adfd520a-ac14-576d-b6c2-87ba1a1265a2.html,NASA launches probe to Europa,3,20,Lean Left,High Factuality,52,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
2,10/15/2024,https://www.news10.com/news/science/rpi-and-nasa-on-a-mission-to-jupiters-moon/,RPI and NASA on a mission to Jupiter’s moon,10,6,Center,High Factuality,16,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
3,10/15/2024,https://www.dawn.com/news/1865264,Nasa launches bid to find life on Jupiter’s moon,0,9,Lean Left,Mixed Factuality,87,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
4,10/15/2024,https://dnyuz.com/2024/10/14/nasa-launches-probe-to-see-if-life-possible-on-jupiter-moon/,NASA launches probe to see if life possible on Jupiter moon,3,13,Lean Right,Mixed Factuality,91,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
5,10/15/2024,https://www.cbsnews.com/video/what-nasa-hopes-to-accomplish-europa-clipper-mission/,What NASA hopes to accomplish with Europa Clipper mission,5,5,Lean Left,High Factuality,19,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
6,10/15/2024,https://www.fox35orlando.com/video/1531881,SpaceX uses giant arms to grab Falcon Heavy on landing,2,9,Center,High Factuality,45,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
7,10/15/2024,https://www.voachinese.com/a/nasa-spacecraft-flies-to-jupiter-20241014/7822178.html,NASA spacecraft flies to Jupiter's moon Europa in search of key to life,7,16,Center,High Factuality,92,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
8,10/15/2024,https://www.rnz.co.nz/news/world/530791/nasa-launches-spacecraft-to-gauge-if-jupiter-s-moon-europa-can-host-life,NASA launches spacecraft to gauge if Jupiter's moon Europa can host life,8,11,Center,High Factuality,86,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
9,10/15/2024,https://www.gzeromedia.com/news/hard-numbers/hard-numbers-nasa-probe-starts-long-journey-toward-jupiter-russias-shadow-fleet-evades-oil-price-cap-israel-vows-to-strike-hezbollah-across-lebanon-global-inequality-researchers-win-nobel-economics-pr,"Hard Numbers: NASA probe starts long journey toward Jupiter, Russia’s shadow fleet evades oil price cap, Israel vows to strike Hezbollah across Lebanon, Global inequality researchers win Nobel economics prize",1,10,Lean Left,High Factuality,96,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
10,10/15/2024,https://www.nzherald.co.nz/world/nasa-launches-europa-clipper-to-explore-jupiters-moon-for-signs-of-life/HCVLAFHKBNGWNF2RTU3JTI26C4/,Nasa spacecraft to gauge if Jupiter moon can host life,9,4,Center,High Factuality,41,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
11,10/15/2024,https://www.theregister.com/2024/10/14/spacexs_falcon_heavy_launches_nasas/,SpaceX's Falcon Heavy launches NASA's Europa Clipper,9,11,Center,High Factuality,22,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
12,10/15/2024,https://spacenews.com/falcon-heavy-launches-nasas-europa-clipper-mission/,Falcon Heavy launches NASA’s Europa Clipper mission,5,11,Center,High Factuality,46,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
13,10/15/2024,https://www.unionleader.com/news/scitech/nasa-s-europa-clipper-launched-on-mission-to-icy-jupiter-moon/article_422248ca-8a67-11ef-a855-b71d997f97dc.html,NASA’s Europa Clipper launched on mission to icy Jupiter moon,1,5,Lean Right,High Factuality,51,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
14,10/15/2024,https://www.voanews.com/a/nasa-spacecraft-rockets-toward-jupiter-s-moon-europa-searching-for-keys-to-life/7822094.html,"NASA spacecraft rockets toward Jupiter's moon Europa, searching for keys to life",1,10,Center,High Factuality,47,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
15,10/15/2024,https://www.krone.at/3559751,Probe to search for life on Jupiter's moon,8,11,Right,Mixed Factuality,34,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
16,10/15/2024,https://www.vice.com/en/article/nasa-europa-clipper-jupiter-moon-mission/,NASA’s Europa Clipper Blasts Off to Jupiter’s Icy Ocean Moon,4,1,Lean Left,Mixed Factuality,72,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
17,10/15/2024,https://www.digitaltrends.com/space/europa-clipper-launch/,Europa Clipper blasts off to study Jupiter's icy moon,2,12,Center,High Factuality,52,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
18,10/15/2024,https://hollywoodlife.com/feature/nasa-launch-europa-clipper-mission-5329543/,Nasa Launch Today: All About the Europa Clipper Mission - WorldNL Magazine,10,11,Lean Left,Mixed Factuality,76,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
19,3/10/2012,https://greensboro.com/nasa-launches-probe-to-europa/article_adfd520a-ac14-576d-b6c2-87ba1a1265a2.html,NASA launches probe to Europa,7,3,Lean Left,High Factuality,46,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
20,8/15/2010,https://www.news10.com/news/science/rpi-and-nasa-on-a-mission-to-jupiters-moon/,RPI and NASA on a mission to Jupiter’s moon,4,12,Center,High Factuality,90,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
21,5/30/2017,https://www.dawn.com/news/1865264,Nasa launches bid to find life on Jupiter’s moon,0,19,Lean Left,Mixed Factuality,52,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
22,8/19/2013,https://dnyuz.com/2024/10/14/nasa-launches-probe-to-see-if-life-possible-on-jupiter-moon/,NASA launches probe to see if life possible on Jupiter moon,2,4,Lean Right,Mixed Factuality,80,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
23,3/4/2015,https://www.cbsnews.com/video/what-nasa-hopes-to-accomplish-europa-clipper-mission/,What NASA hopes to accomplish with Europa Clipper mission,7,11,Lean Left,High Factuality,63,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
24,2/18/2012,https://www.fox35orlando.com/video/1531881,SpaceX uses giant arms to grab Falcon Heavy on landing,5,1,Center,High Factuality,87,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
25,7/30/2020,https://www.voachinese.com/a/nasa-spacecraft-flies-to-jupiter-20241014/7822178.html,NASA spacecraft flies to Jupiter's moon Europa in search of key to life,4,6,Center,High Factuality,77,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
26,11/17/2018,https://www.rnz.co.nz/news/world/530791/nasa-launches-spacecraft-to-gauge-if-jupiter-s-moon-europa-can-host-life,NASA launches spacecraft to gauge if Jupiter's moon Europa can host life,0,15,Center,High Factuality,70,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
27,1/7/2013,https://www.gzeromedia.com/news/hard-numbers/hard-numbers-nasa-probe-starts-long-journey-toward-jupiter-russias-shadow-fleet-evades-oil-price-cap-israel-vows-to-strike-hezbollah-across-lebanon-global-inequality-researchers-win-nobel-economics-pr,"Hard Numbers: NASA probe starts long journey toward Jupiter, Russia’s shadow fleet evades oil price cap, Israel vows to strike Hezbollah across Lebanon, Global inequality researchers win Nobel economics prize",1,1,Lean Left,High Factuality,32,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
28,6/4/2020,https://www.nzherald.co.nz/world/nasa-launches-europa-clipper-to-explore-jupiters-moon-for-signs-of-life/HCVLAFHKBNGWNF2RTU3JTI26C4/,Nasa spacecraft to gauge if Jupiter moon can host life,9,4,Center,High Factuality,30,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
29,9/17/2012,https://www.theregister.com/2024/10/14/spacexs_falcon_heavy_launches_nasas/,SpaceX's Falcon Heavy launches NASA's Europa Clipper,3,17,Center,High Factuality,64,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
30,3/22/2020,https://spacenews.com/falcon-heavy-launches-nasas-europa-clipper-mission/,Falcon Heavy launches NASA’s Europa Clipper mission,2,2,Center,High Factuality,86,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
31,6/16/2012,https://www.unionleader.com/news/scitech/nasa-s-europa-clipper-launched-on-mission-to-icy-jupiter-moon/article_422248ca-8a67-11ef-a855-b71d997f97dc.html,NASA’s Europa Clipper launched on mission to icy Jupiter moon,5,1,Lean Right,High Factuality,31,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
32,4/8/2017,https://www.voanews.com/a/nasa-spacecraft-rockets-toward-jupiter-s-moon-europa-searching-for-keys-to-life/7822094.html,"NASA spacecraft rockets toward Jupiter's moon Europa, searching for keys to life",2,8,Center,High Factuality,64,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
33,6/28/2018,https://www.krone.at/3559751,Probe to search for life on Jupiter's moon,10,5,Right,Mixed Factuality,19,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
34,7/28/2020,https://www.vice.com/en/article/nasa-europa-clipper-jupiter-moon-mission/,NASA’s Europa Clipper Blasts Off to Jupiter’s Icy Ocean Moon,9,11,Lean Left,Mixed Factuality,66,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
35,4/24/2019,https://www.digitaltrends.com/space/europa-clipper-launch/,Europa Clipper blasts off to study Jupiter's icy moon,0,14,Center,High Factuality,33,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
36,11/3/2011,https://hollywoodlife.com/feature/nasa-launch-europa-clipper-mission-5329543/,Nasa Launch Today: All About the Europa Clipper Mission - WorldNL Magazine,9,13,Lean Left,Mixed Factuality,29,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
37,6/7/2011,https://greensboro.com/nasa-launches-probe-to-europa/article_adfd520a-ac14-576d-b6c2-87ba1a1265a2.html,NASA launches probe to Europa,5,2,Lean Left,High Factuality,58,NASA Launches Spacecraft to Gauge if Jupiter's Moon Europa Can Host Life
